,TEAM,PLAYER,TYPE ,PRICE
0,Punjab Kings,Sam Curran,All-Rounder,"₹18,50,00,000"
1,Mumbai Indians,Cameron Green,All-Rounder,"₹17,50,00,000"
2,Chennai Super Kings,Ben Stokes,All-Rounder,"₹16,25,00,000"
3,Lucknow Super Giants,Nicholas Pooran,Wicket-Keeper,"₹16,00,00,000"
4,Sunrisers Hyderabad,Harry Brook,Batter,"₹13,25,00,000"
5,Sunrisers Hyderabad,Mayank Agarwal,Batter,"₹8,25,00,000"
6,Gujarat Titans,Shivam Mavi,Bowler,"₹6,00,00,000"
7,Rajasthan Royals,Jason Holder,All-Rounder,"₹5,75,00,000"
8,Delhi Capitals,Mukesh Kumar,Bowler,"₹5,50,00,000"
9,Sunrisers Hyderabad,Heinrich Klaasen,Wicket-Keeper,"₹5,25,00,000"
